action,first_seen_file,first_seen_line,occurrences
approveATKPermintaan,Scripts_2_Helper_Fase2.html,3568,1
approveBookingKendaraan,Scripts_2_Helper_Fase2.html,3440,1
approveBookingRuangan,Scripts_2_Helper_Fase2.html,3498,1
catatServis,Scripts_2_Helper_Fase2.html,1876,1
changePassword,Scripts_1_Inti_Fase1.html,2439,1
checkSession,Scripts_1_Inti_Fase1.html,797,1
createATKPermintaan,Scripts_2_Helper_Fase2.html,3025,1
createBBM,Scripts_2_Helper_Fase2.html,2425,1
createBookingKendaraan,Scripts_2_Helper_Fase2.html,2265,1
createBookingRuangan,Scripts_2_Helper_Fase2.html,2601,1
createEcoOffice,Scripts_4_Fase4_App.html,1487,1
createIncidentReport,Scripts_3_Fase3.html,3362,1
createIzinMagang,Scripts_3_Fase3.html,1738,1
createIzinTAD,Scripts_3_Fase3.html,2536,1
createJadwalShift,Scripts_3_Fase3.html,3240,1
createLemburTAD,Scripts_3_Fase3.html,2627,1
createLogbookMagang,Scripts_3_Fase3.html,897,1
createPatrolCheckpoint,Scripts_3_Fase3.html,3491,1
createPatrolLog,Scripts_3_Fase3.html,3466,1
createPresensiMagang,Scripts_3_Fase3.html,701,1
createPresensiSecurity,Scripts_3_Fase3.html,2988,1
createTamu,Scripts_1_Inti_Fase1.html,2209,1
createUser,Scripts_1_Inti_Fase1.html,2408,1
deleteKontenSosmed,Scripts_4_Fase4_App.html,1011,1
diagnosaKomunikasi,Scripts_2_Helper_Fase2.html,1441,1
diagnosaTelegram,Scripts_5_Registrasi.html,362,1
ensureTelegramDelivery,Scripts_5_Registrasi.html,328,1
exportLaporan,Scripts_4_Fase4_App.html,1649,1
generateSertifikatMagang,Scripts_3_Fase3.html,630,1
generateSertifikatSelf,Scripts_3_Fase3.html,1800,1
getATKAnalisis,Scripts_2_Helper_Fase2.html,3123,1
getATKPermintaan,Scripts_2_Helper_Fase2.html,2706,1
getATKStats,Scripts_2_Helper_Fase2.html,2704,1
getATKStock,Scripts_2_Helper_Fase2.html,2705,1
getAgenda,Scripts_4_Fase4_App.html,100,1
getAppInfo,Scripts_2_Helper_Fase2.html,753,2
getApprovalCenter,Scripts_2_Helper_Fase2.html,3210,1
getApprovalDetail,Scripts_2_Helper_Fase2.html,3340,1
getBBM,Scripts_2_Helper_Fase2.html,1888,1
getBBMStats,Scripts_2_Helper_Fase2.html,1887,1
getBerita,Scripts_4_Fase4_App.html,1171,1
getBeritaStats,Scripts_4_Fase4_App.html,1175,1
getBookingKendaraan,Scripts_2_Helper_Fase2.html,1738,1
getBookingKendaraanStats,Scripts_2_Helper_Fase2.html,1737,1
getBookingRuangan,Scripts_2_Helper_Fase2.html,2481,1
getBriefingHariIni,Scripts_1_Inti_Fase1.html,1179,1
getBudayaHariIni,Scripts_4_Fase4_App.html,663,1
getBudayaStats,Scripts_4_Fase4_App.html,714,1
getDetailMagang,Scripts_3_Fase3.html,274,1
getDokumenJatuhTempo,Scripts_2_Helper_Fase2.html,1757,1
getDriversList,Scripts_2_Helper_Fase2.html,446,1
getEcoItems,Scripts_4_Fase4_App.html,1444,1
getEcoOffice,Scripts_4_Fase4_App.html,1568,1
getEcoOfficeLeaderboard,Scripts_4_Fase4_App.html,1593,1
getEcoOfficeStats,Scripts_4_Fase4_App.html,1511,1
getEcoTemuan,Scripts_4_Fase4_App.html,1397,1
getFotoDataUrl,Scripts_2_Helper_Fase2.html,210,1
getIncidentReports,Scripts_3_Fase3.html,3253,1
getIncidentTypes,Scripts_3_Fase3.html,2902,2
getIzinMagang,Scripts_3_Fase3.html,1118,3
getIzinTAD,Scripts_3_Fase3.html,2082,2
getJadwalRuangan,Scripts_2_Helper_Fase2.html,2488,1
getJadwalServis,Scripts_2_Helper_Fase2.html,1749,1
getJadwalShift,Scripts_3_Fase3.html,3059,2
getKalenderBudaya,Scripts_4_Fase4_App.html,653,1
getKalenderBulan,Scripts_4_Fase4_App.html,477,2
getKalenderKerja,Scripts_3_Fase3.html,3057,1
getKendaraanList,Scripts_2_Helper_Fase2.html,445,1
getKetersediaanPimpinan,Scripts_4_Fase4_App.html,115,1
getKmKendaraanTerakhir,Scripts_2_Helper_Fase2.html,2305,1
getKomunikasiLog,Scripts_2_Helper_Fase2.html,1571,1
getKontenSosmed,Scripts_4_Fase4_App.html,887,1
getLamaranMagang,Scripts_3_Fase3.html,325,1
getLaporanTypes,Scripts_4_Fase4_App.html,1636,1
getLemburTAD,Scripts_3_Fase3.html,2125,2
getLogbookMagang,Scripts_3_Fase3.html,872,1
getMagang,Scripts_3_Fase3.html,199,1
getMagangStats,Scripts_3_Fase3.html,185,1
getModuleBundle,Scripts_1_Inti_Fase1.html,1891,8
getNotifTarget,Scripts_2_Helper_Fase2.html,734,1
getNotifikasiLog,Scripts_2_Helper_Fase2.html,1480,1
getPatrolCheckpoints,Scripts_3_Fase3.html,2897,2
getPatrolLog,Scripts_3_Fase3.html,3408,1
getPengumumanKomunikasi,Scripts_3_Fase3.html,1304,1
getPimpinanList,Scripts_4_Fase4_App.html,233,2
getPresensiMagang,Scripts_3_Fase3.html,677,1
getPresensiSecurity,Scripts_3_Fase3.html,2914,1
getPresensiTAD,Scripts_3_Fase3.html,1998,1
getPusatData,Scripts_1_Inti_Fase1.html,1134,1
getRecipientsList,Scripts_2_Helper_Fase2.html,1131,1
getRekapPresensiMagang,Scripts_3_Fase3.html,756,1
getRekapPresensiTAD,Scripts_3_Fase3.html,2047,1
getRuanganList,Scripts_2_Helper_Fase2.html,447,1
getSaranBookingKendaraan,Scripts_2_Helper_Fase2.html,2079,1
getSecurityList,Scripts_3_Fase3.html,2893,1
getSecurityStats,Scripts_3_Fase3.html,2882,1
getSettings,Scripts_2_Helper_Fase2.html,1292,1
getSosmedStats,Scripts_4_Fase4_App.html,894,1
getSubscribersList,Scripts_2_Helper_Fase2.html,1118,1
getTAD,Scripts_3_Fase3.html,1971,1
getTamuHariIni,Scripts_1_Inti_Fase1.html,1914,1
getTamuStats,Scripts_1_Inti_Fase1.html,1911,1
getTelegramLinkSelf,Scripts_5_Registrasi.html,266,1
getTugasMagang,Scripts_3_Fase3.html,969,3
getUsers,Scripts_1_Inti_Fase1.html,2252,1
getWebhookInfo,Scripts_5_Registrasi.html,388,1
ingatkanAgenda,Scripts_4_Fase4_App.html,331,1
kirimPengumumanKomunikasi,Scripts_2_Helper_Fase2.html,1637,1
login,Scripts_1_Inti_Fase1.html,832,1
logout,Scripts_1_Inti_Fase1.html,857,1
magangSelfInfo,Scripts_3_Fase3.html,1395,1
nilaiTugasMagang,Scripts_3_Fase3.html,1106,1
pompaTelegram,Scripts_5_Registrasi.html,199,2
presensiTADSelf,Scripts_3_Fase3.html,2454,1
prosesIzinMagang,Scripts_3_Fase3.html,1222,1
prosesNotifTertunda,Scripts_1_Inti_Fase1.html,547,1
publicCekTelegramLink,Scripts_5_Registrasi.html,200,2
publicRegisterUser,Scripts_5_Registrasi.html,132,1
publicResumeTelegramLink,Scripts_5_Registrasi.html,229,1
resendNotifikasi,Scripts_2_Helper_Fase2.html,1514,1
reviewLogbookMagang,Scripts_3_Fase3.html,920,1
savePimpinan,Scripts_4_Fase4_App.html,613,1
sendPesan,Scripts_2_Helper_Fase2.html,1177,1
setKetersediaanPimpinan,Scripts_4_Fase4_App.html,136,1
submitTugasMagang,Scripts_3_Fase3.html,1081,1
tadSelfInfo,Scripts_3_Fase3.html,2387,1
teruskanTamu,Scripts_1_Inti_Fase1.html,2157,1
testEmail,Scripts_2_Helper_Fase2.html,1383,1
testTelegram,Scripts_2_Helper_Fase2.html,1372,1
updateBerita,Scripts_4_Fase4_App.html,1308,1
updateIncidentStatus,Scripts_3_Fase3.html,3379,1
updateMagangSelf,Scripts_3_Fase3.html,1615,1
updateMetrikSosmed,Scripts_4_Fase4_App.html,1094,1
updatePresensiSecurityKeluar,Scripts_3_Fase3.html,3009,1
updateSettings,Scripts_2_Helper_Fase2.html,1347,5
updateTADSelf,Scripts_3_Fase3.html,2769,1
updateTripLog,Scripts_2_Helper_Fase2.html,2345,2
uploadAsetBranding,Scripts_2_Helper_Fase2.html,1550,1
uploadBuktiLemburTAD,Scripts_3_Fase3.html,2666,1
